Phylum	Group	Sum
p__Entorrhizomycota	arabidopsis_thaliana_Germany_root	0
p__Glomeromycota	arabidopsis_thaliana_Germany_root	0.0117567567567568
p__Kickxellomycota	arabidopsis_thaliana_Germany_root	5.40540540540541e-05
p__Monoblepharomycota	arabidopsis_thaliana_Germany_root	0
p__Mortierellomycota	arabidopsis_thaliana_Germany_root	0.00959459459459459
p__Mucoromycota	arabidopsis_thaliana_Germany_root	0.000472972972972973
p__Olpidiomycota	arabidopsis_thaliana_Germany_root	0.10122972972973
p__Rozellomycota	arabidopsis_thaliana_Germany_root	0.00174324324324324
p__Zoopagomycota	arabidopsis_thaliana_Germany_root	0
Unassigned	arabidopsis_thaliana_Germany_root	0.017527027027027
p__Aphelidiomycota	arabidopsis_thaliana_Germany_soil	0.000183544303797468
p__Ascomycota	arabidopsis_thaliana_Germany_soil	0.72496835443038
p__Basidiobolomycota	arabidopsis_thaliana_Germany_soil	1.26582278481013e-05
p__Basidiomycota	arabidopsis_thaliana_Germany_soil	0.131056962025316
p__Chytridiomycota	arabidopsis_thaliana_Germany_soil	0.0155696202531646
p__Entomophthoromycota	arabidopsis_thaliana_Germany_soil	6.32911392405063e-06
p__Entorrhizomycota	arabidopsis_thaliana_Germany_soil	0
p__Glomeromycota	arabidopsis_thaliana_Germany_soil	0.0183164556962025
p__Kickxellomycota	arabidopsis_thaliana_Germany_soil	6.32911392405063e-05
p__Monoblepharomycota	arabidopsis_thaliana_Germany_soil	6.9620253164557e-05
p__Mortierellomycota	arabidopsis_thaliana_Germany_soil	0.048120253164557
p__Mucoromycota	arabidopsis_thaliana_Germany_soil	0.00108860759493671
p__Olpidiomycota	arabidopsis_thaliana_Germany_soil	0.00784810126582279
p__Rozellomycota	arabidopsis_thaliana_Germany_soil	0.011626582278481
p__Zoopagomycota	arabidopsis_thaliana_Germany_soil	6.32911392405063e-06
Unassigned	arabidopsis_thaliana_Germany_soil	0.0410632911392405
p__Aphelidiomycota	arabidopsis_thaliana_France_root	0.0005625
p__Ascomycota	arabidopsis_thaliana_France_root	0.7174375
p__Basidiobolomycota	arabidopsis_thaliana_France_root	0
p__Basidiomycota	arabidopsis_thaliana_France_root	0.11378125
p__Chytridiomycota	arabidopsis_thaliana_France_root	0.0093125
p__Entomophthoromycota	arabidopsis_thaliana_France_root	0
p__Entorrhizomycota	arabidopsis_thaliana_France_root	0
p__Glomeromycota	arabidopsis_thaliana_France_root	0.029375
p__Kickxellomycota	arabidopsis_thaliana_France_root	0.00015625
p__Monoblepharomycota	arabidopsis_thaliana_France_root	0
p__Mortierellomycota	arabidopsis_thaliana_France_root	0.01434375
p__Mucoromycota	arabidopsis_thaliana_France_root	0.00075
p__Olpidiomycota	arabidopsis_thaliana_France_root	0.07365625
p__Rozellomycota	arabidopsis_thaliana_France_root	0.00440625
p__Zoopagomycota	arabidopsis_thaliana_France_root	0
Unassigned	arabidopsis_thaliana_France_root	0.03621875
p__Aphelidiomycota	arabidopsis_thaliana_Germany_rhizoplane	4.65116279069767e-05
p__Ascomycota	arabidopsis_thaliana_Germany_rhizoplane	0.613476744186046
