Phylum	Group	Sum
Armatimonadota	zea_mays_l_DEMO_root	0.00140087965949918
Bacteroidota	zea_mays_l_DEMO_root	0.0173926458856279
Bdellovibrionota	zea_mays_l_DEMO_root	0.00195447675547643
Chloroflexi	zea_mays_l_DEMO_root	0.0655544778335448
Deinococcota	zea_mays_l_DEMO_root	0.000297950788091208
Desulfobacterota	zea_mays_l_DEMO_root	0.000525084415865259
Fibrobacterota	zea_mays_l_DEMO_root	0.000163767360168255
Firmicutes	zea_mays_l_DEMO_root	0.00880718424014416
Gemmatimonadota	zea_mays_l_DEMO_root	0.00280535763680379
Myxococcota	zea_mays_l_DEMO_root	0.0423796021936557
Nitrospirota	zea_mays_l_DEMO_root	0.00120267503918892
Others	zea_mays_l_DEMO_root	0.00137091192693519
Patescibacteria	zea_mays_l_DEMO_root	0.00327349548181429
Planctomycetota	zea_mays_l_DEMO_root	0.000382756113428421
Proteobacteria	zea_mays_l_DEMO_root	0.553231627278529
RCP2-54	zea_mays_l_DEMO_root	0.00059813689454299
Spirochaetota	zea_mays_l_DEMO_root	0.00115442470529692
Unassigned	zea_mays_l_DEMO_root	0.000773136387717317
Verrucomicrobiota	zea_mays_l_DEMO_root	0.00236049335425247
Acidobacteriota	zea_mays_l_DOK_soil	0.0656917133254936
Actinobacteriota	zea_mays_l_DOK_soil	0.189617996083075
Armatimonadota	zea_mays_l_DOK_soil	0.00286028934790601
Bacteroidota	zea_mays_l_DOK_soil	0.0394199726069957
Bdellovibrionota	zea_mays_l_DOK_soil	0.00616802695762464
Chloroflexi	zea_mays_l_DOK_soil	0.27766354503442
Deinococcota	zea_mays_l_DOK_soil	0.000331905643340334
Desulfobacterota	zea_mays_l_DOK_soil	0.00660444895941463
Fibrobacterota	zea_mays_l_DOK_soil	0.00115942459380317
Firmicutes	zea_mays_l_DOK_soil	0.0280194908957413
Gemmatimonadota	zea_mays_l_DOK_soil	0.0319219676902519
Myxococcota	zea_mays_l_DOK_soil	0.027110366617422
Nitrospirota	zea_mays_l_DOK_soil	0.0194920448631352
Others	zea_mays_l_DOK_soil	0.0107342268859706
Patescibacteria	zea_mays_l_DOK_soil	0.0102713622574227
Planctomycetota	zea_mays_l_DOK_soil	0.00882990515084133
Proteobacteria	zea_mays_l_DOK_soil	0.228712951446176
RCP2-54	zea_mays_l_DOK_soil	0.00503600332364712
Spirochaetota	zea_mays_l_DOK_soil	0.00072063985376185
Unassigned	zea_mays_l_DOK_soil	0.00195331241596502
Verrucomicrobiota	zea_mays_l_DOK_soil	0.0376804060475918
Acidobacteriota	zea_mays_l_DOK_root	0.00953051325408128
Actinobacteriota	zea_mays_l_DOK_root	0.37540147678425
Armatimonadota	zea_mays_l_DOK_root	0.00103102906994414
Bacteroidota	zea_mays_l_DOK_root	0.020717092320641
Bdellovibrionota	zea_mays_l_DOK_root	0.00247971274589631
Chloroflexi	zea_mays_l_DOK_root	0.0560921949423172
Deinococcota	zea_mays_l_DOK_root	0.000340728893250336
Desulfobacterota	zea_mays_l_DOK_root	0.000708478433678199
Fibrobacterota	zea_mays_l_DOK_root	0.000696643245573203
Firmicutes	zea_mays_l_DOK_root	0.0104258328683129
Gemmatimonadota	zea_mays_l_DOK_root	0.00389874938205475
Myxococcota	zea_mays_l_DOK_root	0.0289008437345607
Nitrospirota	zea_mays_l_DOK_root	0.00152399433734799
Others	zea_mays_l_DOK_root	0.00101377719794079
Patescibacteria	zea_mays_l_DOK_root	0.00872641740166603
Planctomycetota	zea_mays_l_DOK_root	0.000668976640791033
Proteobacteria	zea_mays_l_DOK_root	0.473683555389341
RCP2-54	zea_mays_l_DOK_root	0.000756393961766847
Spirochaetota	zea_mays_l_DOK_root	0.000419963911424837
Unassigned	zea_mays_l_DOK_root	0.000371701315959557
Verrucomicrobiota	zea_mays_l_DOK_root	0.00261192416920198
Acidobacteriota	zea_mays_l_DOK_rhizosphere	0.0515433620373942
Actinobacteriota	zea_mays_l_DOK_rhizosphere	0.20369865157058
Armatimonadota	zea_mays_l_DOK_rhizosphere	0.00376533832792189
Bacteroidota	zea_mays_l_DOK_rhizosphere	0.043524680304477
Bdellovibrionota	zea_mays_l_DOK_rhizosphere	0.00463492569887374
Chloroflexi	zea_mays_l_DOK_rhizosphere	0.118659053264548
Deinococcota	zea_mays_l_DOK_rhizosphere	0.000344539612518262
Desulfobacterota	zea_mays_l_DOK_rhizosphere	0.00416112787893387
Fibrobacterota	zea_mays_l_DOK_rhizosphere	0.00104414015520655
Firmicutes	zea_mays_l_DOK_rhizosphere	0.0305694673813045
Gemmatimonadota	zea_mays_l_DOK_rhizosphere	0.024773470324512
Myxococcota	zea_mays_l_DOK_rhizosphere	0.0290341256908583
Nitrospirota	zea_mays_l_DOK_rhizosphere	0.0166591914117694
Others	zea_mays_l_DOK_rhizosphere	0.00625930386591513
Patescibacteria	zea_mays_l_DOK_rhizosphere	0.0117582137926658
Planctomycetota	zea_mays_l_DOK_rhizosphere	0.00519058130507595
Proteobacteria	zea_mays_l_DOK_rhizosphere	0.413322528520129
RCP2-54	zea_mays_l_DOK_rhizosphere	0.003788750023684
Spirochaetota	zea_mays_l_DOK_rhizosphere	0.000556698358229339
Unassigned	zea_mays_l_DOK_rhizosphere	0.00122599361926686
Verrucomicrobiota	zea_mays_l_DOK_rhizosphere	0.0254858568561367
Acidobacteriota	arabidopsis_thaliana_Spain_soil	0.0446183312968439
Actinobacteriota	arabidopsis_thaliana_Spain_soil	0.271441531816588
Armatimonadota	arabidopsis_thaliana_Spain_soil	0.00238032077463315
Bacteroidota	arabidopsis_thaliana_Spain_soil	0.0719801675988025
Bdellovibrionota	arabidopsis_thaliana_Spain_soil	0.0108627297518549
Chloroflexi	arabidopsis_thaliana_Spain_soil	0.109733358682961
Deinococcota	arabidopsis_thaliana_Spain_soil	0.000350861414495101
Desulfobacterota	arabidopsis_thaliana_Spain_soil	0.000865479365747847
Fibrobacterota	arabidopsis_thaliana_Spain_soil	0.00294091637945733
Firmicutes	arabidopsis_thaliana_Spain_soil	0.0293918655131942
Gemmatimonadota	arabidopsis_thaliana_Spain_soil	0.0313572759505595
Myxococcota	arabidopsis_thaliana_Spain_soil	0.0398012059164854
Nitrospirota	arabidopsis_thaliana_Spain_soil	0.00767509711048303
Others	arabidopsis_thaliana_Spain_soil	0.00847576861763531
Patescibacteria	arabidopsis_thaliana_Spain_soil	0.00384108539929435
Planctomycetota	arabidopsis_thaliana_Spain_soil	0.00769646355336116
Proteobacteria	arabidopsis_thaliana_Spain_soil	0.323556788775225
RCP2-54	arabidopsis_thaliana_Spain_soil	0.00205621830895386
Spirochaetota	arabidopsis_thaliana_Spain_soil	1.76928520877566e-05
Unassigned	arabidopsis_thaliana_Spain_soil	0.00197690932192568
Verrucomicrobiota	arabidopsis_thaliana_Spain_soil	0.0289799315994104
Acidobacteriota	arabidopsis_thaliana_Spain_rhizoplane	0.00646641515529534
Actinobacteriota	arabidopsis_thaliana_Spain_rhizoplane	0.154328817638043
Armatimonadota	arabidopsis_thaliana_Spain_rhizoplane	0.000423247600209635
Bacteroidota	arabidopsis_thaliana_Spain_rhizoplane	0.134552701863998
Bdellovibrionota	arabidopsis_thaliana_Spain_rhizoplane	0.00535336616403315
Chloroflexi	arabidopsis_thaliana_Spain_rhizoplane	0.0557668032838863
Deinococcota	arabidopsis_thaliana_Spain_rhizoplane	7.8828133950642e-05
Desulfobacterota	arabidopsis_thaliana_Spain_rhizoplane	0.000363621756677626
Fibrobacterota	arabidopsis_thaliana_Spain_rhizoplane	0.00162208299749136
Firmicutes	arabidopsis_thaliana_Spain_rhizoplane	0.00868404654806912
Gemmatimonadota	arabidopsis_thaliana_Spain_rhizoplane	0.0113398747388583
Myxococcota	arabidopsis_thaliana_Spain_rhizoplane	0.0318198277073714
Nitrospirota	arabidopsis_thaliana_Spain_rhizoplane	0.00301710641346181
Others	arabidopsis_thaliana_Spain_rhizoplane	0.00734303049227287
Patescibacteria	arabidopsis_thaliana_Spain_rhizoplane	0.00536757679519339
Planctomycetota	arabidopsis_thaliana_Spain_rhizoplane	0.000735792925857175
Proteobacteria	arabidopsis_thaliana_Spain_rhizoplane	0.566709074712058
RCP2-54	arabidopsis_thaliana_Spain_rhizoplane	0.00113629290116046
Spirochaetota	arabidopsis_thaliana_Spain_rhizoplane	0.000154922713252383
Unassigned	arabidopsis_thaliana_Spain_rhizoplane	0.000702466248574016
Verrucomicrobiota	arabidopsis_thaliana_Spain_rhizoplane	0.00403410321028615
Acidobacteriota	arabidopsis_thaliana_Spain_rhizosphere	0.0502208255031142
Actinobacteriota	arabidopsis_thaliana_Spain_rhizosphere	0.189616980483061
Armatimonadota	arabidopsis_thaliana_Spain_rhizosphere	0.00287281551976469
Bacteroidota	arabidopsis_thaliana_Spain_rhizosphere	0.0757941569619414
Bdellovibrionota	arabidopsis_thaliana_Spain_rhizosphere	0.0126142134759509
Chloroflexi	arabidopsis_thaliana_Spain_rhizosphere	0.069058233263274
Deinococcota	arabidopsis_thaliana_Spain_rhizosphere	0.000221991600380185
Desulfobacterota	arabidopsis_thaliana_Spain_rhizosphere	0.00109727971621368
Fibrobacterota	arabidopsis_thaliana_Spain_rhizosphere	0.00164185274773486
Firmicutes	arabidopsis_thaliana_Spain_rhizosphere	0.0631568835799719
Gemmatimonadota	arabidopsis_thaliana_Spain_rhizosphere	0.0187037227975343
Myxococcota	arabidopsis_thaliana_Spain_rhizosphere	0.0258808886163968
Nitrospirota	arabidopsis_thaliana_Spain_rhizosphere	0.00440085574688998
Others	arabidopsis_thaliana_Spain_rhizosphere	0.00899568716307297
Patescibacteria	arabidopsis_thaliana_Spain_rhizosphere	0.00372899340669451
Planctomycetota	arabidopsis_thaliana_Spain_rhizosphere	0.00591684935793504
Proteobacteria	arabidopsis_thaliana_Spain_rhizosphere	0.442269973938863
RCP2-54	arabidopsis_thaliana_Spain_rhizosphere	0.00184345274931794
Spirochaetota	arabidopsis_thaliana_Spain_rhizosphere	0.000281402113337412
Unassigned	arabidopsis_thaliana_Spain_rhizosphere	0.00108801446168529
Verrucomicrobiota	arabidopsis_thaliana_Spain_rhizosphere	0.0205949267968654
Acidobacteriota	arabidopsis_thaliana_Spain_root	0.00401026399349821
Actinobacteriota	arabidopsis_thaliana_Spain_root	0.0553191134283932
Armatimonadota	arabidopsis_thaliana_Spain_root	0.00026696114713666
Bacteroidota	arabidopsis_thaliana_Spain_root	0.0228743026543978
Bdellovibrionota	arabidopsis_thaliana_Spain_root	0.00219517021612125
Chloroflexi	arabidopsis_thaliana_Spain_root	0.00388620521604671
Deinococcota	arabidopsis_thaliana_Spain_root	7.18398082324383e-05
Desulfobacterota	arabidopsis_thaliana_Spain_root	8.45552651819868e-05
Fibrobacterota	arabidopsis_thaliana_Spain_root	8.6566748160181e-05
Firmicutes	arabidopsis_thaliana_Spain_root	0.0303484808226124
Gemmatimonadota	arabidopsis_thaliana_Spain_root	0.000892193070699816
Myxococcota	arabidopsis_thaliana_Spain_root	0.00502022740544251
Nitrospirota	arabidopsis_thaliana_Spain_root	0.000409008295991781
Others	arabidopsis_thaliana_Spain_root	0.000789841930983196
Patescibacteria	arabidopsis_thaliana_Spain_root	0.000394967170062381
Planctomycetota	arabidopsis_thaliana_Spain_root	0.000127039120184339
Proteobacteria	arabidopsis_thaliana_Spain_root	0.871691466596677
RCP2-54	arabidopsis_thaliana_Spain_root	7.21413087329714e-05
Spirochaetota	arabidopsis_thaliana_Spain_root	7.02995309221227e-05
Unassigned	arabidopsis_thaliana_Spain_root	0.000181086305416878
Verrucomicrobiota	arabidopsis_thaliana_Spain_root	0.00120826996510609
Acidobacteriota	arabidopsis_thaliana_Germany_soil	0.0481149607390006
Actinobacteriota	arabidopsis_thaliana_Germany_soil	0.254297234887947
Armatimonadota	arabidopsis_thaliana_Germany_soil	0.0024294459912013
Bacteroidota	arabidopsis_thaliana_Germany_soil	0.118234608256899
Bdellovibrionota	arabidopsis_thaliana_Germany_soil	0.0141773520957249
Chloroflexi	arabidopsis_thaliana_Germany_soil	0.10837800647176
Deinococcota	arabidopsis_thaliana_Germany_soil	8.22599043015617e-05
Desulfobacterota	arabidopsis_thaliana_Germany_soil	0.00381803574200385
Fibrobacterota	arabidopsis_thaliana_Germany_soil	0.00268704283579278
Firmicutes	arabidopsis_thaliana_Germany_soil	0.0318342131714567
Gemmatimonadota	arabidopsis_thaliana_Germany_soil	0.0217949499529681
Myxococcota	arabidopsis_thaliana_Germany_soil	0.0283462458735129
Nitrospirota	arabidopsis_thaliana_Germany_soil	0.012483522141021
Others	arabidopsis_thaliana_Germany_soil	0.0123103215251125
Patescibacteria	arabidopsis_thaliana_Germany_soil	0.0043076539414385
Planctomycetota	arabidopsis_thaliana_Germany_soil	0.0112566101608745
Proteobacteria	arabidopsis_thaliana_Germany_soil	0.279267396212155
RCP2-54	arabidopsis_thaliana_Germany_soil	0.00552547100792309
Spirochaetota	arabidopsis_thaliana_Germany_soil	0.000173028242790887
Unassigned	arabidopsis_thaliana_Germany_soil	0.00177975031978106
Verrucomicrobiota	arabidopsis_thaliana_Germany_soil	0.0387018905263356
Acidobacteriota	arabidopsis_thaliana_Germany_rhizoplane	0.00817060865072088
Actinobacteriota	arabidopsis_thaliana_Germany_rhizoplane	0.103848512589652
