Sample_ID	Original.SampleID	Study	Host.Species	Host.Genotype	Compartment	Soil	Soil.Batch	Run	Conditions	Date
duran_2020_00093	At_RS_Day36_Rep3_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00094	At_RS_Day36_Rep4_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00095	At_RS_Day36_Rep4_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00096	At_RS_Day36_Rep5_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00097	At_RS_Day36_Rep5_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00098	At_RS_Day36_Rep5_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00099	At_RS_Day36_Rep6_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00100	At_RS_Day36_Rep6_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00101	At_RS_Day36_Rep6_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00102	At_RS_Day36_Rep7_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00103	At_RS_Day36_Rep7_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00104	At_RS_Day36_Rep7_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00105	At_RS_Day36_Rep8_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00106	At_RS_Day36_Rep8_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00062	At_root_Day36_Rep1_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00068	At_root_Day36_Rep3_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00071	At_root_Day36_Rep4_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00072	At_root_Day36_Rep4_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00073	At_root_Day36_Rep4_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00074	At_root_Day36_Rep5_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00075	At_root_Day36_Rep5_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00076	At_root_Day36_Rep5_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00077	At_root_Day36_Rep6_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00078	At_root_Day36_Rep6_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00079	At_root_Day36_Rep6_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00080	At_root_Day36_Rep7_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00081	At_root_Day36_Rep7_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00082	At_root_Day36_Rep7_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00083	At_root_Day36_Rep8_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00084	At_root_Day36_Rep8_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00107	C_Day14_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00108	C_Day14_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00109	C_Day14_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00110	C_Day14_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00111	C_Day14_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00112	C_Day14_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00113	C_Day21_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00114	C_Day21_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00115	C_Day21_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00116	C_Day21_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00117	C_Day21_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00118	C_Day21_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00119	C_Day28_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00120	C_Day28_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00121	C_Day28_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00122	C_Day28_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00123	C_Day28_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00124	C_Day28_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00125	C_Day36_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00126	C_Day36_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00127	C_Day36_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00128	C_Day36_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00129	C_Day36_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00130	C_Day36_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00131	C_Day36_Rep3_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00132	C_Day36_Rep3_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00133	C_Day36_Rep3_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00134	C_Day36_Rep4_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00135	C_Day36_Rep4_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00136	C_Day36_Rep4_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00137	C_Day36_Rep5_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00138	C_Day36_Rep5_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00139	C_Day36_Rep5_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00140	C_Day36_Rep6_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00141	C_Day36_Rep6_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00142	C_Day36_Rep6_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00143	C_Day36_Rep7_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00144	C_Day36_Rep7_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00145	C_Day36_Rep7_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00146	C_Day36_Rep8_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00147	C_Day36_Rep8_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00148	C_Day36_Rep8_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00149	C_Day7_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00150	C_Day7_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00151	C_Day7_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00152	C_Day7_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00153	C_Day7_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00154	C_Day7_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00155	Unplanted_Day0_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00156	Unplanted_Day0_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00157	Unplanted_Day0_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00158	Unplanted_Day14_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00159	Unplanted_Day14_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00160	Unplanted_Day14_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00161	Unplanted_Day21_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00162	Unplanted_Day21_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00163	Unplanted_Day21_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00164	Unplanted_Day28_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00165	Unplanted_Day28_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00166	Unplanted_Day28_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00167	Unplanted_Day36_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00168	Unplanted_Day36_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00169	Unplanted_Day36_Rep2_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00170	Unplanted_Day36_Rep2_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00171	Unplanted_Day36_Rep2_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00172	Unplanted_Day36_Rep3_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00173	Unplanted_Day36_Rep3_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00174	Unplanted_Day36_Rep4_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00175	Unplanted_Day36_Rep4_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00176	Unplanted_Day36_Rep4_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00177	Unplanted_Day36_Rep5_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00178	Unplanted_Day36_Rep5_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00179	Unplanted_Day36_Rep5_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00180	Unplanted_Day36_Rep6_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00181	Unplanted_Day7_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
duran_2020_00182	Unplanted_Day7_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019
masayoshi_2016_00407	002_1	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00416	002_10	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00417	002_11	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00418	002_12	masayoshi_2016	arabidopsis_thaliana	pdr9_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00419	002_13	masayoshi_2016	arabidopsis_thaliana	myb72_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00420	002_14	masayoshi_2016	arabidopsis_thaliana	cyp79b2b3	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00421	002_15	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00422	002_16	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00423	002_17	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00424	002_18	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00425	002_19	masayoshi_2016	arabidopsis_thaliana	pdr9_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00408	002_2	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00426	002_20	masayoshi_2016	arabidopsis_thaliana	myb72_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00427	002_21	masayoshi_2016	arabidopsis_thaliana	cyp79b2b3	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00428	002_22	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00429	002_23	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00430	002_24	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00431	002_25	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00432	002_26	masayoshi_2016	arabidopsis_thaliana	pdr9_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00433	002_27	masayoshi_2016	arabidopsis_thaliana	myb72_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00434	002_28	masayoshi_2016	arabidopsis_thaliana	cyp79b2b3	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00435	002_29	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00409	002_3	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00436	002_30	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00437	002_31	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00438	002_32	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00439	002_33	masayoshi_2016	arabidopsis_thaliana	pdr9_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00440	002_34	masayoshi_2016	arabidopsis_thaliana	myb72_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00441	002_35	masayoshi_2016	arabidopsis_thaliana	cyp79b2b3	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00442	002_36	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00443	002_37	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00444	002_38	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00445	002_39	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00410	002_4	masayoshi_2016	arabidopsis_thaliana	cyp82c4_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00446	002_40	masayoshi_2016	arabidopsis_thaliana	pdr9_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00447	002_41	masayoshi_2016	arabidopsis_thaliana	myb72_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00448	002_42	masayoshi_2016	arabidopsis_thaliana	cyp79b2b3	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00449	002_43	masayoshi_2016	arabidopsis_thaliana	col_0	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00450	002_44	masayoshi_2016	arabidopsis_thaliana	f6h1_1	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
masayoshi_2016_00451	002_45	masayoshi_2016	arabidopsis_thaliana	s8h_2	root	CAS	CAS11b	masayoshi_2016_002	GH	05_2017
