ID	Exemplar	Cluster	Cluster_size
ASV_3190	ASV_276	45	26
ASV_3546	ASV_276	45	26
ASV_131	ASV_279	46	65
ASV_234	ASV_279	46	65
ASV_279	ASV_279	46	65
ASV_364	ASV_279	46	65
ASV_517	ASV_279	46	65
ASV_543	ASV_279	46	65
ASV_835	ASV_279	46	65
ASV_860	ASV_279	46	65
ASV_893	ASV_279	46	65
ASV_909	ASV_279	46	65
ASV_912	ASV_279	46	65
ASV_965	ASV_279	46	65
ASV_1028	ASV_279	46	65
ASV_1085	ASV_279	46	65
ASV_1091	ASV_279	46	65
ASV_1115	ASV_279	46	65
ASV_1301	ASV_279	46	65
ASV_1327	ASV_279	46	65
ASV_1373	ASV_279	46	65
ASV_1382	ASV_279	46	65
ASV_1419	ASV_279	46	65
ASV_1481	ASV_279	46	65
ASV_1514	ASV_279	46	65
ASV_1531	ASV_279	46	65
ASV_1559	ASV_279	46	65
ASV_1636	ASV_279	46	65
ASV_1662	ASV_279	46	65
ASV_1719	ASV_279	46	65
ASV_1733	ASV_279	46	65
ASV_1772	ASV_279	46	65
ASV_1779	ASV_279	46	65
ASV_1781	ASV_279	46	65
ASV_1793	ASV_279	46	65
ASV_1819	ASV_279	46	65
ASV_1820	ASV_279	46	65
ASV_1829	ASV_279	46	65
ASV_1830	ASV_279	46	65
ASV_1832	ASV_279	46	65
ASV_1940	ASV_279	46	65
ASV_2000	ASV_279	46	65
ASV_2053	ASV_279	46	65
ASV_2058	ASV_279	46	65
ASV_2101	ASV_279	46	65
ASV_2139	ASV_279	46	65
ASV_2161	ASV_279	46	65
ASV_2190	ASV_279	46	65
ASV_2331	ASV_279	46	65
ASV_2370	ASV_279	46	65
ASV_2385	ASV_279	46	65
ASV_2441	ASV_279	46	65
ASV_2477	ASV_279	46	65
ASV_2510	ASV_279	46	65
ASV_2539	ASV_279	46	65
ASV_2645	ASV_279	46	65
ASV_2805	ASV_279	46	65
ASV_2840	ASV_279	46	65
ASV_2908	ASV_279	46	65
ASV_3004	ASV_279	46	65
ASV_3267	ASV_279	46	65
ASV_3284	ASV_279	46	65
ASV_3299	ASV_279	46	65
ASV_3373	ASV_279	46	65
ASV_3492	ASV_279	46	65
ASV_4091	ASV_279	46	65
ASV_4371	ASV_279	46	65
ASV_42	ASV_283	47	24
ASV_59	ASV_283	47	24
ASV_85	ASV_283	47	24
ASV_115	ASV_283	47	24
ASV_126	ASV_283	47	24
ASV_154	ASV_283	47	24
ASV_204	ASV_283	47	24
ASV_209	ASV_283	47	24
ASV_283	ASV_283	47	24
ASV_287	ASV_283	47	24
