Family	Decrease	Comparison	Color
A21b	-0.483629456098683	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
A4b	-1.46777304852002	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Acidobacteriaceae_(Subgroup_1)	-0.463489092958334	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Acidobacteriae_fa	-0.530898654915163	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Acidothermaceae	3.31473400422545	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
AKYH767	-0.0896939699147765	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Alcaligenaceae	1.66836325641559	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Alicyclobacillaceae	-0.346256993451298	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
B1-7BS	1.10658740392804	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Bacillaceae	-6.61025806939281	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Bacteriovoracaceae	-0.624430050898702	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Bdellovibrionaceae	-1.21704576997578	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Beijerinckiaceae	-2.1867521284011	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
BIrii41	4.92311017288876	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Bryobacteraceae	3.92342914063895	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Burkholderiaceae	-0.930907059792759	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Catenulisporaceae	1.79082261544304	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Caulobacteraceae	3.0652135198773	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Cellulomonadaceae	-2.69509642975129	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Cellvibrionaceae	3.96824705963424	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Chitinophagaceae	3.44962715569982	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Chloroflexaceae	0.639539185936741	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Clostridiaceae	-1.57354528844569	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Comamonadaceae	12.7620733012626	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Crocinitomicaceae	1.90092476960397	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Cytophagaceae	-0.713453175409676	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Deinococcaceae	1.75015999984506	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Devosiaceae	-0.79675021567725	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Dongiaceae	-1.32631398050728	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Enterobacteriaceae	1.98606288011743	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Entotheonellaceae	-1.05572014006525	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
