Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Acidobacteriae_fa	38.4417942578091	0.383322006000395	2.06427900894185e-21	8.2571160357674e-20	3.1949495111136e-19	1.30992929955658e-17	61.2215610084343	0.614283563350695	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Sporichthyaceae	37.5848111733609	0.394704710765126	8.7414059626428e-18	2.70983584841927e-16	7.51626588182242e-14	2.33004242336495e-12	62.0785440928825	0.622882341529083	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Microtrichaceae	38.183898891395	0.388761655488304	1.23963085416847e-19	4.58663416042334e-18	9.06621546493391e-18	3.53582403132423e-16	61.4794563748484	0.616871228252456	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Hyphomonadaceae	39.3259810916135	0.345960358269768	7.11025964991659e-36	3.55512982495829e-34	5.0167170960555e-31	2.50835854802775e-29	60.3373741746299	0.605411828785445	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Micropepsaceae	35.1426934831218	0.469223945588327	0.00643842848371289	0.0321921424185644	0.0509699894546166	0.254849947273083	64.5206617831216	0.647386008736705	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
BIrii41	37.2813778615381	0.406001406500596	1.52163383298941e-14	3.80408458247352e-13	1.85444476040988e-11	4.45066742498371e-10	62.3819774047053	0.625926924074113	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nannocystaceae	35.589052020445	0.447768908916438	1.21589494749646e-05	8.51126463247522e-05	0.00294884955608094	0.0176930973364856	64.0743032457984	0.64290734618184	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Kineosporiaceae	40.1067953508316	0.338510458529313	3.14725547628168e-39	1.63657284766647e-37	6.93414569707619e-37	3.8137801333919e-35	59.5565599154118	0.597577311704094	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Acidobacteriaceae_(Subgroup_1)	37.0075361796677	0.412309578538892	6.8687086596608e-13	1.44242881852877e-11	1.00255580535334e-09	1.90485603017135e-08	62.6558190865757	0.628674590768043	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Glycomycetaceae	37.6491730259375	0.401317287308946	7.61831445180339e-16	2.13312804650495e-14	9.20905567341846e-14	2.76271670202554e-12	62.0141822403059	0.622236548976698	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
TRA3-20	38.7626119723217	0.363903359580141	1.94041599433895e-28	8.92591357395917e-27	2.16284191996972e-24	9.73278863986374e-23	60.9007432939217	0.611064549565182	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
env.OPS_17	37.5693714052001	0.388832486453578	1.30588106051444e-19	4.70117181785198e-18	1.32442344635739e-14	4.23815502834365e-13	62.0939838610433	0.623037260738049	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Burkholderiaceae	39.0720380488395	0.363573658301305	1.44355892633437e-28	6.78472695377154e-27	1.88971856820452e-25	8.69270541374079e-24	60.5913172174039	0.607959836948481	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Staphylococcaceae	40.1933336556339	0.343359006747493	4.99499025682023e-37	2.54744503097832e-35	1.10682931265092e-34	5.64482949451969e-33	59.4700216106095	0.596709005549128	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Thermomonosporaceae	39.5286918511438	0.36684959044524	2.64390337507172e-27	1.18975651878227e-25	4.24953648010489e-27	1.9972821456493e-25	60.1346634150996	0.603377873988431	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Alicyclobacillaceae	37.723447400878	0.403260922725103	2.68479175235894e-15	7.24893773136914e-14	2.23940191688762e-13	6.4942655589741e-12	61.9399078653654	0.621491296373652	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Oligoflexales_fa	37.4670536184917	0.397155124873305	4.72994913679347e-17	1.37168524967011e-15	3.86624869663429e-13	1.04388714809126e-11	62.1963016477517	0.624063894714349	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Saprospiraceae	38.4804906553233	0.374195773415115	1.39420497269272e-24	5.85566088530942e-23	6.90132878210748e-21	3.03658466412729e-19	61.1828646109201	0.613895292281446	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Pseudohongiellaceae	38.1592185661343	0.390465814783772	4.29938891137072e-19	1.46179222986604e-17	1.98327793594482e-17	7.33812836299583e-16	61.5041367001091	0.617118865161676	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Reyranellaceae	37.3670411831385	0.411777503073558	5.03039015627822e-13	1.15698973594399e-11	2.55995548194451e-11	5.88789760847237e-10	62.2963140831049	0.625067397306511	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Sutterellaceae	37.7482272075818	0.392329343751107	1.63951275970283e-18	5.41039210701934e-17	8.28209056810083e-15	2.81591079315428e-13	61.9151280586616	0.621242661289697	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Enterobacteriaceae	37.1862158812985	0.419515786029773	3.90264513365232e-11	6.63449672720894e-10	7.908817216642e-10	1.5817634433284e-08	62.4771393849449	0.626881758275564	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
A4b	37.7127273581483	0.404752589124748	6.9437336517986e-15	1.80537074946764e-13	2.79390517420731e-13	7.82293448778047e-12	61.9506279080951	0.621598858904544	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
AKYH767	42.6093559629905	0.292858214958488	3.34395983123209e-63	2.27389268523782e-61	1.17055210657799e-64	8.42797516736153e-63	57.0539993032529	0.572467173625023	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Hymenobacteraceae	37.0338507897174	0.413988441061048	1.81357368758722e-12	3.44579000641572e-11	6.86319895777816e-10	1.44127178113341e-08	62.629504476526	0.628410555807757	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Leptospiraceae	37.1398036492676	0.41193265661654	5.5097126756089e-13	1.21213678863396e-11	2.83486487298891e-10	6.2367027205756e-09	62.5235516169758	0.627347448316873	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Moraxellaceae	34.946826037587	0.471487163573996	0.0106041461807495	0.042416584722998	0.116165562392246	0.464662249568984	64.7165292286564	0.649351299239032	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Herpetosiphonaceae	35.9616513000884	0.442538379421244	1.71077031539904e-06	1.53969328385914e-05	0.000197366944496334	0.00157893555597067	63.701703966155	0.639168767657687	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Thermoanaerobaculaceae	36.9590042208837	0.427354412853459	2.1680959172217e-09	3.25214387583255e-08	1.91737382040983e-08	3.25953549469671e-07	62.7043510453597	0.629161549677407	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Entotheonellaceae	33.7312991691528	0.511314403476788	0.819738740734558	1	0.949667557325449	1	65.9320560970906	0.661547626215853	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
