Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Cluster_18	33.1673330199227	0.533699518180791	0.996769465408889	1	0.997792571021203	1	66.4960222463207	0.667206337461562	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_113	30.7098732494026	0.598874968168227	0.999999999999999	1	1	1	68.9534820168408	0.691863943699633	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_112	32.8808131514099	0.538903907676896	0.999166742228622	1	0.999821487601635	1	66.7825421148335	0.670081214268061	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_12	33.5894486631453	0.523431557893352	0.970861857225209	1	0.968970544834425	1	66.0739066030981	0.662970922728685	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_102	33.6101850523618	0.515854331060559	0.899949291725323	1	0.973546647499723	1	66.0531702138816	0.662762858398911	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_45	30.7067546400006	0.606526398869403	1	1	1	1	68.9566006262428	0.691895235134622	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_105	29.7389981617464	0.632598096670776	1	1	1	1	69.924357104497	0.701605488975353	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_40	32.9331781525467	0.547433136412007	0.999936780580736	1	0.999525375658267	1	66.7301771136967	0.669555795461952	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_129	30.6680787044859	0.603667020259342	1	1	1	1	68.9952765617575	0.692283300892707	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_96	31.7506324719306	0.580051639146588	0.999999999950786	1	0.999999999395566	1	67.9127227943128	0.6814211965159	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_83	31.2005884031599	0.586912124068868	0.99999999999892	1	0.999999999999984	1	68.4627668630835	0.686940216694393	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_115	32.516510803696	0.544489435224239	0.999838052887366	1	0.999997557447338	1	67.1468444625474	0.67373654321761	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_75	31.1223014829561	0.587117027932697	0.999999999999041	1	0.999999999999995	1	68.5410537832873	0.687725730286572	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_48	35.8169038149698	0.469956708788605	0.00759244967691518	0.728875168983857	0.00196972744301847	0.200912199187884	63.8464514512736	0.640621131816328	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_64	32.8342698967165	0.53880777993831	0.999144349518766	1	0.999895039798185	1	66.8290853695269	0.670548218961702	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_125	32.8825553832632	0.536619609046801	0.998458816197348	1	0.999843836453899	1	66.7807998829802	0.670063733100096	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_98	33.5136457307266	0.524156732061636	0.974543868900038	1	0.979826108077183	1	66.1497095355168	0.663731512538411	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_124	31.5850669468244	0.579402355298241	0.99999999993045	1	0.999999999939591	1	68.078288319419	0.683082444270041	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_32	32.7041372134232	0.551435929175781	0.999983861640846	1	0.999942817005726	1	66.9592180528202	0.671853941440598	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
