Group	Number_of_ASVs	Compartment
116	7	arabidopsis_thaliana_root
117	10	arabidopsis_thaliana_root
118	5	arabidopsis_thaliana_root
119	6	arabidopsis_thaliana_root
12	19	arabidopsis_thaliana_root
120	2	arabidopsis_thaliana_root
121	24	arabidopsis_thaliana_root
122	2	arabidopsis_thaliana_root
123	4	arabidopsis_thaliana_root
124	6	arabidopsis_thaliana_root
125	3	arabidopsis_thaliana_root
126	1	arabidopsis_thaliana_root
127	2	arabidopsis_thaliana_root
128	6	arabidopsis_thaliana_root
129	4	arabidopsis_thaliana_root
13	9	arabidopsis_thaliana_root
130	6	arabidopsis_thaliana_root
131	3	arabidopsis_thaliana_root
132	2	arabidopsis_thaliana_root
133	7	arabidopsis_thaliana_root
134	2	arabidopsis_thaliana_root
14	17	arabidopsis_thaliana_root
15	21	arabidopsis_thaliana_root
16	16	arabidopsis_thaliana_root
17	10	arabidopsis_thaliana_root
18	29	arabidopsis_thaliana_root
19	15	arabidopsis_thaliana_root
2	15	arabidopsis_thaliana_root
20	47	arabidopsis_thaliana_root
21	19	arabidopsis_thaliana_root
22	32	arabidopsis_thaliana_root
23	15	arabidopsis_thaliana_root
24	35	arabidopsis_thaliana_root
25	45	arabidopsis_thaliana_root
26	44	arabidopsis_thaliana_root
27	4	arabidopsis_thaliana_root
28	11	arabidopsis_thaliana_root
29	20	arabidopsis_thaliana_root
3	7	arabidopsis_thaliana_root
30	31	arabidopsis_thaliana_root
31	15	arabidopsis_thaliana_root
32	10	arabidopsis_thaliana_root
33	3	arabidopsis_thaliana_root
34	3	arabidopsis_thaliana_root
35	22	arabidopsis_thaliana_root
36	26	arabidopsis_thaliana_root
37	4	arabidopsis_thaliana_root
38	5	arabidopsis_thaliana_root
39	24	arabidopsis_thaliana_root
4	11	arabidopsis_thaliana_root
40	22	arabidopsis_thaliana_root
41	19	arabidopsis_thaliana_root
42	6	arabidopsis_thaliana_root
43	4	arabidopsis_thaliana_root
44	7	arabidopsis_thaliana_root
45	8	arabidopsis_thaliana_root
46	15	arabidopsis_thaliana_root
47	16	arabidopsis_thaliana_root
48	18	arabidopsis_thaliana_root
49	4	arabidopsis_thaliana_root
5	13	arabidopsis_thaliana_root
50	8	arabidopsis_thaliana_root
51	30	arabidopsis_thaliana_root
52	4	arabidopsis_thaliana_root
53	8	arabidopsis_thaliana_root
54	7	arabidopsis_thaliana_root
55	5	arabidopsis_thaliana_root
56	43	arabidopsis_thaliana_root
57	7	arabidopsis_thaliana_root
58	13	arabidopsis_thaliana_root
59	14	arabidopsis_thaliana_root
6	29	arabidopsis_thaliana_root
60	15	arabidopsis_thaliana_root
61	23	arabidopsis_thaliana_root
62	12	arabidopsis_thaliana_root
