Cluster	Decrease	P_value	Comparison
Cluster_89	-3.60615821203704	0.999999999985902	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_9	-2.24360549474262	0.999983245690381	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_90	-1.06830737962115	0.989035831092455	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_91	-5.39140754395861	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_92	-4.55226359093541	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_93	-3.21816494123888	0.999999998980151	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_94	-5.43121509735946	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_95	-2.51874359047932	0.999998934540522	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_96	-4.6090861956035	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_97	-3.28376121230366	0.999999999560044	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_98	0.225541322070157	0.323173548354829	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_99	-6.56436509454636	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_1	4.54847938175985	2.02178609336712e-23	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_10	4.25780970369086	4.27437979525441e-24	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_100	3.71370517758105	3.6784373369057e-17	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_101	11.0779970920174	1.38179929755615e-163	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_102	-0.238213723106064	0.713021620938094	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_103	0.102618784737359	0.414150011711761	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_104	3.13507599186664	3.87477466744302e-12	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_105	2.2975429825802	5.09447667130953e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_106	-0.508900564830981	0.901000001348144	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_107	2.64564015805664	2.98326654911111e-09	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_108	2.00099279456588	4.30671195160222e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_109	0.455833863248017	0.13910447277997	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_11	1.69863406714803	5.86520376229056e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_110	0.220211074918716	0.305419447262275	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_111	-0.531883330314649	0.894549393987014	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_112	1.00686624381446	0.0125523361385969	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_113	2.34788261596474	9.16585709833776e-09	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_114	-0.433581469232038	0.830748973148745	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_115	0.724193821051919	0.0529037239554374	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_116	1.0314851426464	0.0114934424026245	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_117	-0.211335910450686	0.686297792199597	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_118	0.478435946074377	0.155009970840009	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_119	0.651320948832158	0.0721239457293194	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_12	3.95012611575849	4.31531122603591e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_120	2.0395659036838	2.08408052397504e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_121	-3.16557419876375	0.999999999948035	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_122	0.946070942831156	0.0176416245668521	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_123	3.53454133121475	6.99845293471489e-15	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_124	3.91733094835766	3.98347611100972e-18	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_125	0.0844133048236984	0.422279809782851	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_126	2.21387666376589	2.59524137059732e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_127	1.88371246269472	2.4102815146528e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_128	1.5605402001501	0.000394313449116038	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_129	3.982766677204	3.22454908756767e-21	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
